timestamp,hash-rate,difficulty
2020-12-02,124752259.79794464,19157154724710.0
2020-12-03,149512250.29219317,19157154724710.0
2020-12-04,137132255.0450689,19157154724710.0
2020-12-05,137132255.0450689,19157154724710.0
2020-12-06,129513796.43145394,19157154724710.0
2020-12-07,142846099.00528008,19157154724710.0
2020-12-08,137132255.0450689,19157154724710.0
2020-12-09,132370718.41155955,19157154724710.0
2020-12-10,123799952.47124276,19157154724710.0
2020-12-11,131418411.08485769,19157154724710.0
2020-12-12,125704567.1246465,19157154724710.0
2020-12-13,148463110.1109586,19144667899932.82
2020-12-14,134574371.39496115,18670168558400.0
2020-12-15,129933875.82961763,18670168558400.0
2020-12-16,132718173.16882376,18670168558400.0
2020-12-17,119724785.58586197,18670168558400.0
2020-12-18,145711560.75178552,18670168558400.0
2020-12-19,146639659.8648542,18670168558400.0
2020-12-20,140142966.07337332,18670168558400.0
2020-12-21,126221479.37734285,18670168558400.0
2020-12-22,132718173.16882376,18670168558400.0
2020-12-23,142927263.41257942,18670168558400.0
2020-12-24,116940488.24665588,18670168558400.0
2020-12-25,133646272.28189245,18670168558400.0
2020-12-26,127149578.49041158,18670168558400.0
2020-12-27,137358668.73416725,18670168558400.0
2020-12-28,147938033.9968089,18600034145237.133
2020-12-29,140537799.38571388,18599593048299.0
2020-12-30,159029615.0943604,18599593048299.0
2020-12-31,153482070.38176647,18599593048299.0
2021-01-01,137764027.0294169,18599593048299.0
2021-01-02,139613208.60028157,18599593048299.0
2021-01-03,146085344.09830785,18599593048299.0
2021-01-04,159954205.87979275,18599593048299.0
2021-01-05,145160753.31287554,18599593048299.0
2021-01-06,163652569.02152207,18599593048299.0
2021-01-07,155331251.95263115,18599593048299.0
2021-01-08,136839436.24398455,18599593048299.0
2021-01-09,133808024.52210465,19365166707094.76
2021-01-10,162879650.9247733,20607418304386.0
2021-01-11,157757649.32336533,20607418304386.0
2021-01-12,151611247.4016758,20607418304386.0
2021-01-13,155708848.68280214,20607418304386.0
2021-01-14,150586847.08139417,20607418304386.0
2021-01-15,158782049.6436469,20607418304386.0
2021-01-16,150586847.08139417,20607418304386.0
2021-01-17,136245242.59745187,20607418304386.0
2021-01-18,148538046.440831,20607418304386.0
2021-01-19,152635647.72195736,20607418304386.0
2021-01-20,144440445.1597046,20607418304386.0
2021-01-21,132147641.31632549,20607418304386.0
2021-01-22,145464845.4799862,20607418304386.0
2021-01-23,159781151.23197326,20737086011821.6
2021-01-24,143884925.38771522,20823531150112.0
2021-01-25,144920068.73582825,20823531150112.0
2021-01-26,166658079.0462025,20823531150112.0
2021-01-27,146990355.43205437,20823531150112.0
2021-01-28,150095785.47639358,20823531150112.0
2021-01-29,157341788.913185,20823531150112.0
2021-01-30,140779495.34337604,20823531150112.0
2021-01-31,149060642.12828052,20823531150112.0
2021-02-01,124217201.7735671,20823531150112.0
2021-02-02,157341788.913185,20823531150112.0
2021-02-03,155271502.21695888,20823531150112.0
2021-02-04,165622935.69808948,20823531150112.0
2021-02-05,174939225.83110696,20823531150112.0
2021-02-06,169021265.50315762,21384451039675.535
2021-02-07,166219498.0035569,21434395961349.0
2021-02-08,172612555.6190783,21434395961349.0
2021-02-09,152367873.16992718,21434395961349.0
2021-02-10,152367873.16992718,21434395961349.0
2021-02-11,137450738.7337105,21434395961349.0
2021-02-12,151302363.56734022,21434395961349.0
2021-02-13,167285007.6061438,21434395961349.0
2021-02-14,158760930.78544855,21434395961349.0
2021-02-15,160891949.9906224,21434395961349.0
2021-02-16,128926661.9130153,21434395961349.0
2021-02-17,147040325.15699264,21434395961349.0
2021-02-18,145974815.55440575,21434395961349.0
2021-02-19,163181402.20420986,21455226865438.4
2021-02-20,157667240.0893604,21724134900047.0
2021-02-21,152267677.07260144,21724134900047.0
2021-02-22,143628376.2457872,21724134900047.0
2021-02-23,137148900.6256765,21724134900047.0
2021-02-24,171706103.93293357,21724134900047.0
2021-02-25,168466366.12287825,21724134900047.0
2021-02-26,150107851.8658979,21724134900047.0
2021-02-27,169546278.72623003,21724134900047.0
2021-02-28,141468551.03908366,21724134900047.0
2021-03-01,140388638.43573186,21724134900047.0
2021-03-02,154427502.27930507,21724134900047.0
2021-03-03,164146715.7094711,21724134900047.0
2021-03-04,138228813.22902828,21724134900047.0
2021-03-05,160906977.89941573,21724134900047.0
2021-03-06,162254330.9888254,21473685655440.383
2021-03-07,155665151.9066483,21448277761060.0
2021-03-08,165260948.9419896,21448277761060.0
2021-03-09,149267953.88308737,21448277761060.0
