,date,wallet_address,sent_amount_btc,received_amount_btc,net
7296,2016-06-15 13:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7295,2016-06-23 03:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,250.0,-250.0
7294,2016-07-02 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7292,2016-07-06 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,558.10558005,557.10525159,1.0003284599999915
7293,2016-07-06 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,267.95378221,266.95345374,1.0003284699999995
7291,2016-07-12 23:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
2964,2016-07-27 18:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0003,-0.0003
2962,2016-07-29 11:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00035696,-0.00035696
2963,2016-07-29 11:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0003,-0.0003
7290,2016-08-10 08:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,455.23686805,454.23653957,1.0003284800000074
7289,2016-08-16 22:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,435.10194757,434.10161914,1.0003284299999677
7288,2016-08-24 00:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,500.0,498.99966968,1.0003303199999891
7287,2016-10-28 00:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7286,2016-12-08 23:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
2961,2016-12-28 18:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0105454,-0.0105454
7285,2017-01-14 13:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,1000.0,-1000.0
2960,2017-01-26 20:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0004,-0.0004
2959,2017-02-18 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.02341855,-0.02341855
7283,2017-02-25 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7284,2017-02-25 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7282,2017-02-27 20:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7281,2017-02-27 20:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
2958,2017-04-12 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1.001e-05,-1.001e-05
2957,2017-04-14 21:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
