,date,sent_amount_btc,received_amount_btc,net
149,2017-11-17 04:00:00,0.0,1001.0,-1001.0
150,2017-11-17 22:00:00,0.0,0.0001,-0.0001
151,2017-12-07 14:00:00,0.0,0.00073,-0.00073
152,2017-12-08 09:00:00,0.0,1001.0,-1001.0
153,2017-12-08 23:00:00,0.0,2001.0,-2001.0
154,2017-12-09 01:00:00,0.0,2001.0,-2001.0
155,2017-12-09 16:00:00,0.0,0.007,-0.007
156,2017-12-13 01:00:00,0.0,1501.0,-1501.0
157,2017-12-14 15:00:00,0.0,0.0006,-0.0006
158,2017-12-17 12:00:00,0.0,0.0001,-0.0001
159,2017-12-18 08:00:00,0.0,1001.0,-1001.0
160,2017-12-26 08:00:00,0.0,0.00025312,-0.00025312
161,2017-12-29 13:00:00,0.0,0.000117,-0.000117
162,2018-01-21 15:00:00,0.0,0.0002,-0.0002
163,2018-02-02 10:00:00,0.0,2000.0,-2000.0
164,2018-02-10 00:00:00,0.0,1000.0,-1000.0
165,2018-02-12 14:00:00,0.0,8.7e-06,-8.7e-06
166,2018-02-20 20:00:00,0.0,8.73e-06,-8.73e-06
167,2018-02-27 05:00:00,0.0,1001.0,-1001.0
168,2018-03-03 06:00:00,0.0,1001.00002664,-1001.00002664
169,2018-03-03 16:00:00,0.0,1e-05,-1e-05
170,2018-03-07 01:00:00,0.0,1001.0,-1001.0
171,2018-03-11 01:00:00,0.0,7e-06,-7e-06
172,2018-03-11 20:00:00,0.0,0.00012345,-0.00012345
173,2018-03-14 12:00:00,0.0,0.0002,-0.0002
174,2018-03-22 19:00:00,0.0,1e-05,-1e-05
175,2018-03-24 03:00:00,0.0,1001.0,-1001.0
176,2018-03-31 01:00:00,0.0,2.465e-05,-2.465e-05
177,2018-03-31 03:00:00,0.0,2.465e-05,-2.465e-05
178,2018-04-01 23:00:00,0.0,5.3e-05,-5.3e-05
179,2018-04-06 05:00:00,0.0,7.65e-06,-7.65e-06
180,2018-04-08 02:00:00,0.0,3.33e-05,-3.33e-05
181,2018-04-09 15:00:00,0.0,0.0001,-0.0001
182,2018-04-09 16:00:00,0.0,0.00044,-0.00044
183,2018-04-09 17:00:00,0.0,1e-05,-1e-05
184,2018-04-21 10:00:00,0.0,1.129e-05,-1.129e-05
185,2018-04-22 07:00:00,0.0,0.000158,-0.000158
186,2018-04-22 18:00:00,0.0,2e-05,-2e-05
187,2018-04-28 12:00:00,0.0,101.0,-101.0
188,2018-04-28 22:00:00,0.0,1800.0996,-1800.0996
189,2018-05-01 01:00:00,0.0,1001.0,-1001.0
190,2018-05-02 06:00:00,0.0,8e-05,-8e-05
191,2018-05-02 09:00:00,0.0,400.1096,-400.1096
192,2018-05-08 17:00:00,0.0,6.66e-06,-6.66e-06
193,2018-05-08 18:00:00,0.0,6.66e-06,-6.66e-06
194,2018-05-09 03:00:00,0.0,0.00011,-0.00011
195,2018-05-10 00:00:00,0.0,2002.0,-2002.0
196,2018-05-21 14:00:00,0.0,6.6e-05,-6.6e-05
197,2018-05-22 11:00:00,0.0,1001.0,-1001.0
198,2018-05-23 01:00:00,0.0,1001.0,-1001.0
199,2018-05-28 15:00:00,0.0,8e-06,-8e-06
200,2018-06-05 18:00:00,0.0,2e-05,-2e-05
201,2018-06-08 16:00:00,0.0,1e-05,-1e-05
202,2018-06-14 18:00:00,0.0,0.00022222,-0.00022222
203,2018-06-14 23:00:00,0.0,1e-05,-1e-05
204,2018-06-16 04:00:00,0.0,1e-05,-1e-05
205,2018-06-16 14:00:00,0.0,1e-05,-1e-05
206,2018-06-16 15:00:00,0.0,1e-05,-1e-05
207,2018-06-16 16:00:00,0.0,9e-05,-9e-05
208,2018-06-17 00:00:00,0.0,0.0010101,-0.0010101
209,2018-06-18 18:00:00,0.0,0.018,-0.018
210,2018-06-25 01:00:00,0.0,5.45e-06,-5.45e-06
211,2018-07-01 07:00:00,0.0,6.66e-06,-6.66e-06
212,2018-07-02 12:00:00,0.0,6.66e-06,-6.66e-06
213,2018-07-03 15:00:00,0.0,5.47e-06,-5.47e-06
214,2018-07-04 01:00:00,0.0,4.56e-05,-4.56e-05
215,2018-07-07 23:00:00,0.0,2e-05,-2e-05
216,2018-07-08 01:00:00,0.0,1.73e-05,-1.73e-05
217,2018-07-12 01:00:00,0.0,1001.0,-1001.0
218,2018-07-12 07:00:00,0.0,1001.0,-1001.0
219,2018-07-15 04:00:00,0.0,7.49e-06,-7.49e-06
220,2018-07-21 06:00:00,0.0,1001.0,-1001.0
221,2018-07-24 22:00:00,0.0,1001.0,-1001.0
222,2018-07-26 01:00:00,0.0,1001.0,-1001.0
223,2018-07-27 00:00:00,0.0,2002.0,-2002.0
224,2018-07-29 02:00:00,0.0,6.76e-06,-6.76e-06
225,2018-07-31 05:00:00,0.0,7.78e-06,-7.78e-06
226,2018-07-31 17:00:00,0.0,6.74e-06,-6.74e-06
227,2018-08-05 21:00:00,0.0,8.554e-05,-8.554e-05
228,2018-08-12 14:00:00,0.0,0.0001593,-0.0001593
229,2018-08-14 04:00:00,0.0,0.00099998,-0.00099998
230,2018-08-18 02:00:00,0.0,501.0,-501.0
231,2018-08-21 18:00:00,0.0,0.0003092,-0.0003092
232,2018-08-26 04:00:00,2.08940373,1.08629367,1.0031100599999998
233,2018-08-26 14:00:00,0.0,1.3700000000000001e-05,-1.3700000000000001e-05
234,2018-08-27 20:00:00,0.0,0.00014756,-0.00014756
235,2018-08-30 05:00:00,0.0,501.0,-501.0
